segment,streetname,direction,segdesc,x1,y1,x2,y2
1,Queen,E,Bathurst to Portland,10,10,30,10
2,Queen,E,Portland to Spadina,30,10,60,10
3,Queen,E,Spadina to Peter,60,10,80,10
4,Queen,E,Peter to John,80,10,100,10
5,Queen,E,John to Simcoe,100,10,130,10
6,Queen,E,Simcoe to University,130,10,140,10
7,Queen,E,University to York,140,10,150,10
8,Queen,E,York to Bay,150,10,180,10
9,Queen,E,Bay to Yonge,180,10,200,10
10,Queen,E,Yonge to Church,200,10,230,10
11,Queen,E,Church to Jarvis,230,10,250,10
12,Queen,W,Jarvis to Church,250,10,230,10
13,Queen,W,Church to Yonge,230,10,200,10
14,Queen,W,Yonge to Bay,200,10,180,10
15,Queen,W,Bay to York,180,10,150,10
16,Queen,W,York to University,150,10,140,10
17,Queen,W,University to Simcoe,140,10,130,10
18,Queen,W,Simcoe to John,130,10,100,10
19,Queen,W,John to Peter,100,10,80,10
20,Queen,W,Peter to Spadina,80,10,60,10
21,Queen,W,Spadina to Portland,60,10,30,10
22,Queen,W,Portland to Bathurst,30,10,10,10
23,Richmond,W,Jarvis to Church,250,20,230,20
24,Richmond,W,Church to Yonge,230,20,200,20
25,Richmond,W,Yonge to Bay,200,20,180,20
26,Richmond,W,Bay to York,180,20,150,20
27,Richmond,W,York to University,150,20,140,20
28,Richmond,W,University to Simcoe,140,20,130,20
29,Richmond,W,Simcoe to John,130,20,100,20
30,Richmond,W,John to Peter,100,20,80,20
31,Richmond,W,Peter to Spadina,80,20,60,20
32,Richmond,W,Spadina to Portland,60,20,30,20
33,Richmond,W,Portland to Bathurst,30,20,10,20
34,Adelaide,E,Bathurst to Portland,10,35,30,35
35,Adelaide,E,Portland to Spadina,30,35,60,35
36,Adelaide,E,Spadina to Peter,60,35,80,35
37,Adelaide,E,Peter to John,80,35,100,35
38,Adelaide,E,John to Simcoe,100,35,130,35
39,Adelaide,E,Simcoe to University,130,35,140,35
40,Adelaide,E,University to York,140,35,150,35
41,Adelaide,E,York to Bay,150,35,180,35
42,Adelaide,E,Bay to Yonge,180,35,200,35
43,Adelaide,E,Yonge to Church,200,35,230,35
44,Adelaide,E,Church to Jarvis,230,35,250,35
45,King,E,Bathurst to Portland,10,50,30,50
46,King,E,Portland to Spadina,30,50,60,50
47,King,E,Spadina to Peter,60,50,80,50
48,King,E,Peter to John,80,50,100,50
49,King,E,John to Simcoe,100,50,130,50
50,King,E,Simcoe to University,130,50,140,50
51,King,E,University to York,140,50,150,50
52,King,E,York to Bay,150,50,180,50
53,King,E,Bay to Yonge,180,50,200,50
54,King,E,Yonge to Church,200,50,230,50
55,King,E,Church to Jarvis,230,50,250,50
56,King,W,Jarvis to Church,250,50,230,50
57,King,W,Church to Yonge,230,50,200,50
58,King,W,Yonge to Bay,200,50,180,50
59,King,W,Bay to York,180,50,150,50
60,King,W,York to University,150,50,140,50
61,King,W,University to Simcoe,140,50,130,50
62,King,W,Simcoe to John,130,50,100,50
63,King,W,John to Peter,100,50,80,50
64,King,W,Peter to Spadina,80,50,60,50
65,King,W,Spadina to Portland,60,50,30,50
66,King,W,Portland to Bathurst,30,50,10,50
67,Wellington,W,Jarvis to Church,250,65,230,65
68,Wellington,W,Church to Yonge,230,65,200,65
69,Wellington,W,Yonge to Bay,200,65,180,65
70,Wellington,W,Bay to York,180,65,150,65
71,Wellington,W,York to University,150,65,140,65
72,Wellington,W,University to Simcoe,140,65,130,65
73,Wellington,W,Simcoe to John,130,65,100,65
74,Wellington,W,John to Blue Jays,100,65,80,65
75,Wellington,W,Blue Jays to Spadina,80,65,60,65
76,Front1,E,Bathurst to Portland,10,80,30,80
77,Front1,E,Portland to Spadina,30,80,60,80
78,Front1,E,Spadina to Peter,60,80,80,80
79,Front1,E,Peter to John,80,80,100,80
80,Front1,E,John to Simcoe,100,80,130,80
81,Front1,E,Simcoe to University,130,80,140,80
82,Front1,E,University to York,140,80,150,80
83,Front1,E,York to Bay,150,80,180,80
84,Front1,E,Bay to Yonge,180,80,200,80
85,Front2,E,Yonge to Church,200,80,230,65
86,Front1,E,Church to Jarvis,230,65,250,65
87,Front1,W,Yonge to Bay,200,80,180,80
88,Front1,W,Bay to York,180,80,150,80
89,Front1,W,York to University,150,80,140,80
90,Front1,W,University to Simcoe,140,80,130,80
91,Front1,W,Simcoe to John,130,80,100,80
92,Front1,W,John to Peter,100,80,80,80
93,Front1,W,Peter to Spadina,80,80,60,80
94,Front1,W,Spadina to Portland,60,80,30,80
95,Front1,W,Portland to Bathurst,30,80,10,80
96,Bathurst,S,Queen to Richmond,10,10,10,20
97,Bathurst,S,Richmond to Adelaide,10,20,10,35
98,Bathurst,S,Adelaide to King,10,35,10,50
99,Bathurst,S,King to Front,10,50,10,80
100,Bathurst,N,Front to King,10,80,10,50
101,Bathurst,N,King to Adelaide,10,50,10,35
102,Bathurst,N,Adelaide to Richmond,10,35,10,20
103,Bathurst,N,Richmond to Queen,10,20,10,10
104,Portland,S,Adelaide to King,30,35,30,50
105,Portland,S,King to Front,30,50,30,80
106,Portland,N,Front to King,30,80,30,50
107,Portland,N,King to Adelaide,30,50,30,35
108,Spadina,S,Queen to Richmond,60,10,60,20
109,Spadina,S,Richmond to Adelaide,60,20,60,35
110,Spadina,S,Adelaide to King,60,35,60,50
111,Spadina,S,King to Front,60,50,60,80
112,Spadina,N,Front to King,60,80,60,50
113,Spadina,N,King to Adelaide,60,50,60,35
114,Spadina,N,Adelaide to Richmond,60,35,60,20
115,Spadina,N,Richmond to Queen,60,20,60,10
116,Peter,S,Adelaide to King,80,35,80,50
117,Blue Jays,S,King to Wellington,80,50,80,65
118,Blue Jays,S,Wellington to Front,80,65,80,80
119,Blue Jays,N,Front to Wellington,80,80,80,65
120,Blue Jays,N,Wellington to King,80,65,80,50
121,Peter,N,King to Adelaide,80,50,80,35
122,John,S,Adelaide to King,100,35,100,50
123,John,S,King to Wellington,100,50,100,65
124,John,N,Wellington to King,100,65,100,50
125,John,N,King to Adelaide,100,50,100,35
126,University,S,Adelaide to King,140,35,140,50
127,University,S,King to Wellington,140,50,140,65
128,University,N,Wellington to King,140,65,140,50
129,University,N,King to Adelaide,140,50,140,35
130,York,N,Wellington to King,150,65,150,50
131,York,N,King to Adelaide,150,50,150,35
132,Bay,S,Queen to Richmond,180,10,180,20
133,Bay,S,Richmond to Adelaide,180,20,180,35
134,Bay,S,Adelaide to King,180,35,180,50
135,Bay,S,King to Wellington,180,50,180,65
136,Bay,S,Wellington to Front,180,65,180,80
137,Bay,N,Front to Wellington,180,80,180,65
138,Bay,N,Wellington to King,180,65,180,50
139,Bay,N,King to Adelaide,180,50,180,35
140,Bay,N,Adelaide to Richmond,180,35,180,20
141,Bay,N,Richmond to Queen,180,20,180,10
142,Yonge,S,Adelaide to King,200,35,200,50
143,Yonge,S,King to Wellington,200,50,200,65
144,Yonge,N,Wellington to King,200,65,200,50
145,Yonge,N,King to Adelaide,200,50,200,35
146,Church,S,Adelaide to King,230,35,230,50
147,Church,S,King to Wellington,230,50,230,65
148,Church,N,Wellington to King,230,65,230,50
149,Church,N,King to Adelaide,230,50,230,35
150,Jarvis,S,Queen to Richmond,250,10,250,20
151,Jarvis,S,Richmond to Adelaide,250,20,250,35
152,Jarvis,S,Adelaide to King,250,35,250,50
153,Jarvis,S,King to Wellington,250,50,250,65
154,Jarvis,N,Wellington to King,250,65,250,50
155,Jarvis,N,King to Adelaide,250,50,250,35
156,Jarvis,N,Adelaide to Richmond,250,35,250,20
157,Jarvis,N,Richmond to Queen,250,20,250,10
